class,field,nonnull_count,total_count,ratio
avrora/actions/SimAction,Lavrora/sim/Simulation;,2,3,0.67
avrora/actions/SimAction,Lcck/util/Option$Bool;,3,3,1.00
avrora/actions/SimAction,Lcck/util/Option$Bool;,3,3,1.00
avrora/actions/SimAction,Lcck/util/Option$Long;,3,3,1.00
avrora/actions/SimAction,Lcck/util/Option$Str;,3,3,1.00
avrora/arch/legacy/LegacyDisassembler,[B,73594,73598,1.00
avrora/arch/legacy/LegacyRegister$Set,Ljava/lang/String;,10879,10879,1.00
avrora/arch/legacy/LegacyRegister$Set,Ljava/util/HashSet;,10879,10879,1.00
avrora/arch/legacy/LegacyRegister,Ljava/lang/String;,46447579,46447579,1.00
avrora/core/LoadableProgram,Lavrora/core/Program;,12,14,0.86
avrora/core/LoadableProgram,Ljava/io/File;,14,14,1.00
avrora/core/LoadableProgram,Ljava/lang/String;,14,14,1.00
avrora/core/Program,Lavrora/arch/AbstractArchitecture;,176797,176797,1.00
avrora/core/Program,Lavrora/core/ControlFlowGraph;,0,176797,0.00
avrora/core/Program,Lavrora/core/SourceMapping;,131870,176797,0.75
avrora/core/Program,Ljava/util/HashMap;,176797,176797,1.00
avrora/core/Program,[B,176797,176797,1.00
avrora/core/Program,[Lavrora/arch/AbstractInstr;,176797,176797,1.00
avrora/core/SourceMapping,Lavrora/core/Program;,306,306,1.00
avrora/core/SourceMapping,Ljava/util/HashMap;,306,306,1.00
avrora/core/SourceMapping,Ljava/util/HashMap;,306,306,1.00
avrora/monitors/LEDMonitor$Mon,Lavrora/monitors/LEDMonitor;,17070,17070,1.00
avrora/monitors/LEDMonitor$Mon,Lavrora/sim/output/SimPrinter;,17070,17070,1.00
avrora/monitors/LEDMonitor$Mon,Lavrora/sim/platform/LED$LEDGroup;,17070,17070,1.00
avrora/monitors/PacketMonitor$Mon,Lavrora/monitors/PacketMonitor;,509944,509944,1.00
avrora/monitors/PacketMonitor$Mon,Lavrora/sim/Simulator;,509944,509944,1.00
avrora/monitors/PacketMonitor$Mon,Lavrora/sim/output/SimPrinter;,509944,509944,1.00
avrora/monitors/PacketMonitor$Mon,[C,504230,509944,0.99
avrora/monitors/PacketMonitor,Lcck/util/Option$Bool;,6,6,1.00
avrora/monitors/PacketMonitor,Lcck/util/Option$Bool;,6,6,1.00
avrora/monitors/PacketMonitor,Lcck/util/Option$Str;,6,6,1.00
avrora/monitors/PacketMonitor,Ljava/util/List;,6,6,1.00
avrora/sim/AtmelInterpreter$IORegBehavior,Lavrora/sim/ActiveRegister;,2134851,2134851,1.00
avrora/sim/AtmelInterpreter$SREGBehavior,Lavrora/sim/AtmelInterpreter;,985258,985258,1.00
avrora/sim/AtmelInterpreter$StateImpl,Lavrora/sim/AtmelInterpreter;,6,6,1.00
avrora/sim/CodeSegment,Lavrora/sim/AtmelInterpreter;,47023,47023,1.00
avrora/sim/CodeSegment,Lavrora/sim/CodeSegment$CodeSharer;,0,47023,0.00
avrora/sim/CodeSegment,Lavrora/sim/CodeSegment$NoLegacyInstr;,47023,47023,1.00
avrora/sim/CodeSegment,[Lavrora/arch/legacy/LegacyInstr;,47023,47023,1.00
avrora/sim/FiniteStateMachine,Lavrora/sim/FiniteStateMachine$TransitionEvent;,1735645,1735645,1.00
avrora/sim/FiniteStateMachine,Lavrora/sim/clock/Clock;,1735645,1735645,1.00
avrora/sim/FiniteStateMachine,Lavrora/sim/util/MulticastFSMProbe;,1735645,1735645,1.00
