fields,params,result,count
,0,1,1
,1,0,51905
,1,1,369071
,10,1,1
,11,0,1
,11,1,22008
,110,0,252
,110,1,1460
,111,1,55563
,111111,1,10346
0,0,1,788
0,1,0,157078
0,11,0,2
0,11,1,57
0,111,1,1
000,0,1,28
000,1,1,16
00000,01,1,1
00000,1,1,788
00000,11,1,4353
0000000,1,0,5388
0000000,1,1,1796
000000000000,1,1,1
0000001,1,0,59362
0000001,1,1,21355
0000001,11,1,1277
0001000,1,0,240
0001000,1,1,16
001,0,1,1
001,1,1,1
0010000,1,0,3770
0010000,1,1,837
0010000,111,1,51
0010001,1,0,56
0010001,1,1,34
0010001,111,1,6
0010010,1,0,438534
0010010,1,1,119322
0010010,111,1,1448
0010011,1,0,36422
0010011,1,1,15113
0010011,111,1,809
0010100,1,0,84
0010100,1,1,84
0010100,111,1,84
00110,1,1,1980
0011000,1,0,35638
0011000,1,1,19832
0011000,111,1,5755
0011001,1,0,7284
0011001,1,1,19
0011001,111,1,15
0011010,1,0,76042
0011010,1,1,48302
0011010,111,1,2
0011011,1,0,25693
0011011,1,1,12390
00111,1,1,11
01000,1,1,113
010000,1,1,16
0100001,1,0,6281
0100001,1,1,504
0110000,1,0,4
0110000,1,1,8
0110000,111,1,4
0110010,1,1,164
0111000,1,0,6827
0111000,1,1,18057
0111000,111,1,4401
0111001,1,0,8
0111001,1,1,90
0111001,110,1,84
0111001,111,1,2
0111011,1,0,18333
0111011,1,1,12558
0111011,110,1,168
1,0,1,118
1,1,0,204734
1,1,1,220071
1,10,1,1
1,11,1,4355
1,111,1,58
10,0,1,263
10,1,1,263
100,1,1,27474
1000000,1,0,5136
1000000,1,1,1712
100000000000,1,1,32
1000001,0,1,58
10001,1,1,91723
1000110,0,1,1963
1000110,01,1,2867
1000110,1,1,643
1001110,0,1,293
1001110,01,1,1992
1001110,1,1,23
1001110,11,1,546
101,1,1,2530
1010000,1,0,92224
1010000,1,1,26229
1010000,110,1,1
1010000,111,1,7686
1010001,1,0,14
1010001,1,1,16
1010001,111,1,4
1010010,1,0,494039
1010010,1,1,139457
1010010,111,1,241
1010011,1,0,48411
1010011,1,1,28592
1010110,01,1,573
1010110,1,1,333
1011,11,1,16
1011000,1,0,111
1011000,1,1,52
1011000,111,1,13
1011001,1,0,7030
1011001,1,1,176
1011001,110,0,84
1011001,110,1,84
1011001,111,1,2
1011010,1,0,295001
1011010,1,1,53600
1011010,111,1,133
1011011,1,0,25357
1011011,1,1,12726
1011011,110,0,168
1011011,110,1,168
1011110,01,1,10
1011110,1,1,182
1011110,11,1,47
1011111,1,1,3
11,0111,1,1277
11,1,0,25559
11,1,1,81028
11,11,1,31102
11,111,1,24189
11,1111,0,1277
110,1,1,263
110000,0,1,16
1100000,1,1,394
1100001,1,1,16
1100001,11,1,16
11010,1,1,12
110101,1,1,41473
110101,11,1,14348
11011,1,1,124
1101100,0,1,394
1101100,111,1,394
1101110,01,1,31
1101110,1,1,20
1101110,11,1,338
11011111,11,1,1
111,0,1,22
111,1,0,295
111,1,1,207347
111,11,1,58
111000,1,1,263
1110000,1,0,3
1110000,1,1,4
1110000,110,1,1
111000000000,1,1,2
1110001,0,1,12
1110001,1,1,14787
1110010,1,0,802
1110010,1,1,802
1111,1,1,220
1111,11,1,78
1111000,1,0,36
1111000,1,1,18
1111000,111,1,4
111100000000,1,1,6
1111010,1,0,75955
1111010,1,1,11841
1111010,111,1,485
11110101,1,0,58
11110101,1,1,58
11110111000111011,111,1,1
1111100,1,1,788
111110000000,1,1,2
1111101111100,1,1,2386
1111101111101,1,1,12804
1111101111101,11,1,17351
1111110,1,1,55
1111110,11,1,165
1111111,1,1,4434
11111111,11,1,4353
111111110000,1,1,2
1111111110000,1,1,2438
1111111110001,1,1,25
111111111100,1,1,10
111111111110,1,1,5
111111111111,1,1,2201
