fields,params,result,count
,0,0,1
,0,1,7229
,01,1,7510
,1,0,107
,1,1,17328537
,10,0,15
,11,0,10
,11,1,8414
00,1,1,3041
01,1,0,1974908
01,1,1,72
01,100,1,12
01,111,1,1974908
01100011101100100,1,1,1
01100011101100100,1,1,1
01100011101100100,1,1,1
01100011101100100,1,1,1
011001,1,1,654604
1,0,1,108
1,1,1,6456190
10,1,1,77115
10,11,1,1
10010110000000,1,1,84
10010110000000,11,1,290
100111,1,1,9766242
10011110010000,1,1,1602677
10011110011000,1,1,47415
10110,10,0,6
10110,100,1,6
10111,10,1,43
10111,100,1,43
10111,11,0,43
10111,11,1,2908612
101111,1,1,19694190
11,011,1,116872
11,1,0,1895550
11,1,1,41756582
11,100,1,10
11,11,1,18
11,111,1,1259980
110,1,1,2107196
110,11,0,28
1100,1,1,2280526
11000,1,1,1
11010110000000,1,1,23
11010110000000,11,1,1901
11010110000001,1,1,328
11011110010000,1,1,13372593
11011110010001,1,1,8022483
11011111000101,11,1,48
11011111010101,1,1,91645
111,1,0,1337
111,1,1,7088282
111,11,0,295
111,11,1,14
11100,1,1,2
1110000,1,1,15
1110000,11,1,13
11100011101100100,1,0,1
11100011101100100,1,1,2
11100011101100100,1,1,3
11100011101100100,1,1,44
11100011111100100,1,0,136
11100011111100100,1,1,657149
1110010,1,1,51
1111,1,1,347
1111000,1,0,13
1111000,1,1,1
1111000,10,0,13
11110001,10,1,10
1111011,0,0,14
1111011,1,0,64
1111011,1,1,3
1111011,10,0,73
1111011,10,1,1
1111011,11,1,16
11110110000000,11,1,42
11110110000001,1,1,20
11110111,100,1,10
11111,100,1,11
11111,111,1,1041251
11111110010001,1,1,6321336
11111111,1,0,1
11111111,1,1,13
11111111,10,0,1
11111111,11,0,34
11111111,11,1,741
11111111,111,1,31
