class,field,nonnull_count,total_count,ratio
org/python/antlr/GrammarActions$StringPair,0,5030,5030,1.00
org/python/antlr/GrammarActions$StringPair,1,5030,5030,1.00
org/python/antlr/PythonLexer$DFA43,0,20603,20603,1.00
org/python/antlr/PythonLexer$DFA44,0,292608,292608,1.00
org/python/antlr/PythonLexer,0,326644,326689,1.00
org/python/antlr/PythonLexer,1,326689,326689,1.00
org/python/antlr/PythonLexer,2,326689,326689,1.00
org/python/antlr/PythonLexer,3,326689,326689,1.00
org/python/antlr/PythonLexer,4,326689,326689,1.00
org/python/antlr/PythonLexer,5,326689,326689,1.00
org/python/antlr/PythonParser$DFA127,0,8449,8449,1.00
org/python/antlr/PythonParser$DFA131,0,279,279,1.00
org/python/antlr/PythonParser$DFA136,0,24931,24931,1.00
org/python/antlr/PythonParser$DFA34,0,6630,6630,1.00
org/python/antlr/PythonParser$DFA39,0,156,156,1.00
org/python/antlr/PythonParser$DFA78,0,12,12,1.00
org/python/antlr/PythonParser$and_expr_return,0,244,22447,0.01
org/python/antlr/PythonParser$and_expr_return,1,22447,22447,1.00
org/python/antlr/PythonParser$and_test_return,0,0,20484,0.00
org/python/antlr/PythonParser$and_test_return,1,20468,20484,1.00
org/python/antlr/PythonParser$arglist_return,0,2134,2148,0.99
org/python/antlr/PythonParser$arglist_return,1,2134,2148,0.99
org/python/antlr/PythonParser$arglist_return,2,20,2148,0.01
org/python/antlr/PythonParser$arglist_return,3,5,2148,0.00
org/python/antlr/PythonParser$arglist_return,4,2148,2148,1.00
org/python/antlr/PythonParser$argument_return,0,3134,3134,1.00
org/python/antlr/PythonParser$arith_expr_return,0,244,22481,0.01
org/python/antlr/PythonParser$arith_expr_return,1,22479,22481,1.00
org/python/antlr/PythonParser$arith_op_return,0,781,781,1.00
org/python/antlr/PythonParser$arith_op_return,1,781,781,1.00
org/python/antlr/PythonParser$assert_stmt_return,0,4,4,1.00
org/python/antlr/PythonParser$atom_return,0,361,23869,0.02
org/python/antlr/PythonParser$atom_return,1,23869,23869,1.00
org/python/antlr/PythonParser$attr_return,0,3181,3181,1.00
org/python/antlr/PythonParser$augassign_return,0,22,22,1.00
org/python/antlr/PythonParser$augassign_return,1,22,22,1.00
org/python/antlr/PythonParser$break_stmt_return,0,49,49,1.00
org/python/antlr/PythonParser$classdef_return,0,122,122,1.00
org/python/antlr/PythonParser$comp_op_return,0,1556,1556,1.00
org/python/antlr/PythonParser$comp_op_return,1,1556,1556,1.00
org/python/antlr/PythonParser$comparison_return,0,234,20522,0.01
org/python/antlr/PythonParser$comparison_return,1,20522,20522,1.00
org/python/antlr/PythonParser$compound_stmt_return,0,2183,2183,1.00
org/python/antlr/PythonParser$continue_stmt_return,0,41,41,1.00
org/python/antlr/PythonParser$defparameter_return,0,2182,2191,1.00
org/python/antlr/PythonParser$defparameter_return,1,2182,2191,1.00
org/python/antlr/PythonParser$del_list_return,0,55,55,1.00
org/python/antlr/PythonParser$del_list_return,1,55,55,1.00
org/python/antlr/PythonParser$del_stmt_return,0,55,55,1.00
org/python/antlr/PythonParser$dictmaker_return,0,39,39,1.00
org/python/antlr/PythonParser$dictmaker_return,1,39,39,1.00
org/python/antlr/PythonParser$dictmaker_return,2,39,39,1.00
org/python/antlr/PythonParser$dotted_as_name_return,0,378,378,1.00
org/python/antlr/PythonParser$dotted_as_name_return,1,378,378,1.00
org/python/antlr/PythonParser$dotted_as_names_return,0,170,170,1.00
org/python/antlr/PythonParser$dotted_as_names_return,1,0,170,0.00
org/python/antlr/PythonParser$dotted_name_return,0,251,251,1.00
org/python/antlr/PythonParser$dotted_name_return,1,251,251,1.00
org/python/antlr/PythonParser$elif_clause_return,0,244,414,0.59
org/python/antlr/PythonParser$elif_clause_return,1,414,414,1.00
org/python/antlr/PythonParser$else_clause_return,0,244,244,1.00
org/python/antlr/PythonParser$else_clause_return,1,244,244,1.00
org/python/antlr/PythonParser$except_clause_return,0,576,576,1.00
org/python/antlr/PythonParser$exec_stmt_return,0,1,1,1.00
org/python/antlr/PythonParser$expr_return,0,254,27901,0.01
org/python/antlr/PythonParser$expr_return,1,24114,27901,0.86
org/python/antlr/PythonParser$expr_stmt_return,0,6630,6630,1.00
org/python/antlr/PythonParser$exprlist_return,0,273,273,1.00
org/python/antlr/PythonParser$exprlist_return,1,273,273,1.00
org/python/antlr/PythonParser$factor_return,0,24623,25322,0.97
org/python/antlr/PythonParser$factor_return,1,476,25322,0.02
org/python/antlr/PythonParser$factor_return,2,24623,25322,0.97
org/python/antlr/PythonParser$flow_stmt_return,0,750,750,1.00
org/python/antlr/PythonParser$for_stmt_return,0,267,267,1.00
org/python/antlr/PythonParser$fpdef_return,0,1091,1091,1.00
